epoch,train_loss,train_acc,val_loss,val_acc
1,1.2317271151927986,0.5888888888888889,0.33167068123584614,0.8861111111111111
2,0.361507409058436,0.8722222222222222,0.05748589267019876,0.9944444444444445
3,0.18344907260904408,0.9414141414141414,0.012905643996782285,1.0
4,0.13042616815579058,0.9585858585858585,0.013353812815168769,0.9972222222222222
5,0.11717899413120866,0.9656565656565657,0.005453648214784658,1.0
6,0.10641084946315697,0.9707070707070707,0.0069813654709731865,1.0
7,0.070886933352008,0.9808080808080808,0.009981819841515163,0.9972222222222222
8,0.07815318366493841,0.9797979797979798,0.0030155971406189666,1.0
9,0.06710062970529602,0.9803030303030303,0.0019002810687046197,1.0
10,0.05410517230253629,0.9868686868686869,0.0005439394502887909,1.0
11,0.06387304949263732,0.9833333333333333,0.007395627535849296,0.9972222222222222
12,0.05304418768677296,0.9863636363636363,0.006954494707941983,0.9944444444444445
13,0.05183463702260545,0.9858585858585859,0.009370830853104748,0.9944444444444445
14,0.03601356764333417,0.9888888888888889,0.003360374743814039,0.9972222222222222
15,0.036717249576303394,0.9873737373737373,0.001513190665059483,1.0
16,0.032759093414201884,0.98989898989899,0.006576286665017505,0.9972222222222222
17,0.02737970846150108,0.9924242424242424,0.006439734296378023,0.9972222222222222
18,0.028574425810265987,0.9929292929292929,0.00301368517928798,0.9972222222222222
19,0.04803178270601414,0.9858585858585859,0.00559485637769386,0.9972222222222222
20,0.026547498075818323,0.9924242424242424,0.003778619692940942,0.9972222222222222
21,0.030064005306874864,0.9878787878787879,0.004995383983825421,0.9972222222222222
22,0.018128080525896467,0.9944444444444445,0.004635628689728321,0.9972222222222222
23,0.025038437492618658,0.9939393939393939,0.005383184706091192,0.9972222222222222
24,0.019641810695104525,0.9954545454545455,0.0008021734362980087,1.0
25,0.021170581100188723,0.9939393939393939,0.003569588411126132,1.0
26,0.028956658743566486,0.9914141414141414,0.02822608648540316,0.9861111111111112
27,0.033950790570992415,0.9919191919191919,0.0059084481619110975,0.9944444444444445
28,0.02262201076467531,0.9934343434343434,0.002592747441396644,1.0
29,0.021222585647112945,0.9939393939393939,0.0006188455018268652,1.0
30,0.01997975179845599,0.996969696969697,0.0033715515386824615,1.0
31,0.015791185040760672,0.996969696969697,0.00169910221972156,1.0
32,0.015666087912048703,0.9949494949494949,0.0008696316113646358,1.0
33,0.02277569590804327,0.9944444444444445,0.0036963637348634195,1.0
34,0.010658969542463169,0.9964646464646465,0.005706641238744522,0.9972222222222222
35,0.021918211892397718,0.9949494949494949,0.0029458602836711693,0.9972222222222222
36,0.014856063118180956,0.9944444444444445,0.003402293118369768,0.9972222222222222
37,0.011648879324131872,0.9974747474747475,8.839098906274026e-05,1.0
38,0.01595888398705295,0.9939393939393939,0.003236294899134704,1.0
39,0.023862000428271867,0.9944444444444445,0.004817053948861154,0.9972222222222222
40,0.017952726645197606,0.9959595959595959,0.006511724905409563,0.9972222222222222
41,0.01666041217612648,0.9944444444444445,0.0017750386908308732,1.0
42,0.020663280192894314,0.996969696969697,0.0043428703981638886,0.9972222222222222
43,0.024258913073895706,0.9934343434343434,0.003680100360618452,1.0
44,0.013104683193589815,0.9949494949494949,0.0035894000690934688,0.9972222222222222
45,0.01211237719134343,0.9974747474747475,0.015507596119201454,0.9916666666666667
46,0.014895683153993403,0.9939393939393939,0.0024452439899893836,1.0
47,0.02227312291306773,0.9959595959595959,0.01715773815687827,0.9972222222222222
48,0.012302920236863723,0.9964646464646465,0.018098248347144835,0.9944444444444445
49,0.011330687119437364,0.9974747474747475,0.009389235542857931,0.9972222222222222
50,0.014969459442936844,0.9964646464646465,0.0032745986712433683,1.0
51,0.01574122966043745,0.9954545454545455,0.002660771760614939,0.9972222222222222
52,0.024895992951768666,0.9929292929292929,0.024314146857673476,0.9861111111111112
53,0.016766483078456736,0.9954545454545455,0.0029406254474438577,1.0
54,0.021573286157247205,0.9954545454545455,0.016425821387616047,0.9888888888888889
55,0.014435921260596705,0.9944444444444445,0.00942098846739433,0.9972222222222222
56,0.006098495327721754,0.9974747474747475,0.01021740001393062,0.9972222222222222
57,0.017801110573598615,0.9954545454545455,0.018618999133821982,0.9916666666666667
58,0.008488896458687242,0.9974747474747475,0.0153210523971312,0.9972222222222222
59,0.018565053420054323,0.9939393939393939,0.015500028818061019,0.9944444444444445
60,0.011408167659196852,0.996969696969697,0.011390595506356268,0.9972222222222222
61,0.015435059767009483,0.9949494949494949,0.010459013325179553,0.9972222222222222
62,0.009934084255758655,0.9954545454545455,0.007644475793889111,0.9972222222222222
63,0.02299265400171421,0.9949494949494949,0.002319047712362969,1.0
64,0.009057756351757408,0.997979797979798,0.011782793466995005,0.9944444444444445
65,0.011527056545104403,0.996969696969697,0.005174207595700232,0.9972222222222222
66,0.015333700229089255,0.996969696969697,0.0011043690022928684,1.0
67,0.012493411666035154,0.9944444444444445,0.005030830733573705,0.9972222222222222
