frame,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP,thumb_index_tip_dist,thumb_middle_tip_dist,thumb_ring_tip_dist,thumb_pinky_tip_dist,thumb_tip_to_palm,index_tip_to_palm,middle_tip_to_palm,ring_tip_to_palm,pinky_tip_to_palm,index_middle_tip_dist,middle_ring_tip_dist,ring_pinky_tip_dist,index_pinky_tip_dist,spread_ratio_index_pinky_vs_index_middle,spread_ratio_thumb_index_vs_thumb_pinky,index_extension,middle_extension,ring_extension,pinky_extension,thumb_extension,angle_thumb_index,angle_index_middle,angle_middle_ring,angle_ring_pinky,angle_index_pinky,pinch_index,pinch_middle,pinch_ring,pinch_pinky,mean_four_finger_extension,time_s
0,29.741084199626243,13.374847329193187,23.478307648262813,13.844915301162814,9.231211192991566,16.829253044591383,30.182551230040275,20.146656343291056,23.39754778276631,14.539106409476943,9.694255583769745,16.745145480966897,4.472680122988464,2.982347919685509,0.5445364856201106,0.8639352469734405,1.3814680325028463,1.43900183966801,1.1375340207699631,1.423654888187763,1.3994330686525123,1.4211849077391032,1.2834595334232808,0.43357818182936175,0.7156852161035976,0.48146541808450427,1.3373921703337683,3.084546675862586,0.3784126377222794,1.2313307074640467,1.238497272571704,1.2080553284580824,0.990108290395885,0.790470566272993,20.976673728880595,17.642083560092317,29.3841087071225,19.668354708034084,58.93989264524995,0.5445364856201106,0.8639352469734405,1.3814680325028463,1.43900183966801,1.1669978997224295,0.0
1,29.65913967869224,13.428646710494576,23.41617056971964,13.825804186480667,9.218355991195011,16.806162072531663,30.216309935511845,20.169319605520457,23.363286340277682,14.552729483913907,9.703399226780476,16.710373846675736,4.391816772828406,2.928383729706411,0.5442976424962425,0.8629519439005745,1.3799160059833693,1.439039365988343,1.137165876211431,1.4240404588375455,1.3991846700589778,1.4210072137500325,1.283660318323298,0.43377946166756626,0.7148404918872501,0.48160268447310484,1.3388370287968334,3.086446261852779,0.3782367957252141,1.231382496355166,1.238296742398594,1.2080200891476232,0.9901628733335529,0.7904427539200174,20.943015436719676,17.648059470910027,29.353063828011052,19.679066694729258,58.995840543637236,0.5442976424962425,0.8629519439005745,1.3799160059833693,1.439039365988343,1.166965550308734,0.03333333333333333
2,29.61552867110325,13.365325131422537,23.36224024938963,13.78322462481853,9.189906649163277,16.81278715523689,30.15760296516578,20.1300302926563,23.341959159305475,14.549328076325367,9.70112008555239,16.70126936247189,4.400604986275425,2.934295914008487,0.5453929769168478,0.8648868175340094,1.380201177445836,1.43896566198329,1.1378263429500666,1.4244405166286065,1.3994697438719206,1.420931934742944,1.2834472793787735,0.4351226785807263,0.7131959093500017,0.4817995195610683,1.338973191440207,3.077231379976164,0.3790173647194422,1.2314915652269314,1.2386433544306503,1.208028336263374,0.9901570357667279,0.7904409788027058,21.00022931036123,17.698732509285385,29.2821604511416,19.68832045032914,58.995628034624865,0.5453929769168478,0.8648868175340094,1.380201177445836,1.43896566198329,1.167080072921921,0.06666666666666667
3,29.583357067856042,13.338676172407332,23.325035970484606,13.771412364082721,9.182171075614121,16.80951306441625,30.231706522702922,20.17950295089804,23.334821346626853,14.549393580826234,9.701022968280398,16.66690099797117,4.470437959125405,2.980881221470014,0.5458004449869541,0.864710363786213,1.3804631341666873,1.437343793905912,1.1382365461754358,1.4246058765791145,1.3989242172734335,1.4208713340509094,1.2827856073774062,0.43494172605005377,0.7129999299142051,0.48142963840587993,1.3374542050622673,3.0750192363888273,0.379728526678007,1.2315226977840945,1.2382079836658992,1.2080283949671133,0.9901101137851933,0.7904426269962657,21.02399270178409,17.69202707054175,29.279779606567143,19.669515378204007,58.92992789941665,0.5458004449869541,0.864710363786213,1.3804631341666873,1.437343793905912,1.166967297550575,0.1
4,29.530323558258914,13.320750655776635,23.335116681291822,13.749210399378683,9.167154632024364,16.78403981927056,30.165301913279876,20.135018189572634,23.337691004814985,14.582584588455688,9.723307997590695,16.613665964880738,4.452678915363691,2.9690475195455974,0.5465273037484107,0.8659782181298733,1.3809484265675707,1.4374520735089278,1.138837565870298,1.4246049493473552,1.3994104216213017,1.420649889711162,1.2823976583270305,0.4346087301288801,0.7126939122075834,0.4809559413022486,1.3359700264340524,3.0739603304753604,0.38020558042832064,1.2315805700928069,1.23859847589522,1.2079400692992237,0.9901227177254434,0.7904552720583645,21.07436049914849,17.676408368329668,29.264954139732467,19.650613223270575,58.86506567655472,0.5465273037484107,0.8659782181298733,1.3809484265675707,1.4374520735089278,1.1670604582531734,0.13333333333333333
5,29.471404559796923,13.321753881092008,23.31772901647875,13.712304902029388,9.142725629535704,16.761928469470035,30.11056706655657,20.09848801166453,23.320067324236277,14.75554867333176,9.838828365896745,16.555937295263305,4.408627631198243,2.9395840038941117,0.5471252666687582,0.8669915139944062,1.3789788435917039,1.4375148518054264,1.1390875114231815,1.4248168257673057,1.3998902559384923,1.4198397905265758,1.282277584023872,0.4347961519502202,0.7107343098820416,0.4805054248345343,1.33573683736252,3.072098960973461,0.3806049462205935,1.2316760200374859,1.2389189784584882,1.207469695974532,0.9901522400790401,0.7904513864228514,21.103588357177827,17.68037282412691,29.187591095762972,19.64584128543212,58.850139483108045,0.5471252666687582,0.8669915139944062,1.3789788435917039,1.4375148518054264,1.1670542336373866,0.16666666666666666
6,29.426476370989263,13.286770360733811,23.29801473114304,13.664799040312744,9.110893426265392,16.749802048373738,30.24577728608378,20.188974619404576,23.28871988183829,14.745876946242873,9.832167349120766,16.505186316581927,4.441168084582557,2.9614208941868867,0.5481192657151727,0.8663582944720708,1.3786546457017426,1.4365199318284454,1.1394986558491291,1.4251418102105469,1.3989786982535695,1.4197393672270064,1.281835378026321,0.43386356801995224,0.7100297472079501,0.48029640794667194,1.3348141080604279,3.0765756234994295,0.38156049892179716,1.231798031967613,1.2381235541686608,1.2074968746842516,0.9901287005285304,0.7904462550065983,21.153000878800295,17.642791038187294,29.167777887573955,19.636152065483838,58.80473289775002,0.5481192657151727,0.8663582944720708,1.3786546457017426,1.4365199318284454,1.166886790337264,0.2
7,29.394563550820465,13.236966617356927,23.286698198761542,13.561753982213475,9.042158938249656,16.741350272838872,30.10005196698279,20.091386082339653,23.29023762603805,14.69679615656105,9.79960298985452,16.503359526084296,4.398204943727052,2.9326894342419507,0.5498762751270853,0.8694383980156593,1.3799481313121802,1.4378682216510446,1.1402320059703235,1.4256684182693902,1.3999258730064692,1.4198347541343828,1.2819036170085008,0.435181353902014,0.7091502893535087,0.4801459261712261,1.3354935352366255,3.0688206022014466,0.382424663834241,1.2320639390582717,1.2389803299513802,1.2076296735344354,0.9901586340123215,0.7904604641083565,21.241972818639205,17.688705891653388,29.120770845944417,19.62783623153761,58.82192245786382,0.5498762751270853,0.8694383980156593,1.3799481313121802,1.4378682216510446,1.1672081441391022,0.23333333333333334
8,29.34804630239688,13.281649961881243,23.267807229342623,13.488126589143434,8.993159824337681,16.7451724928857,30.041592998812263,20.052376751191872,23.28427619362722,14.63862556711021,9.760699981148264,16.468567176975313,4.405783266495689,2.937681312613762,0.5505324890836104,0.8703748285168109,1.3803113228983368,1.4375769245936871,1.140108961540362,1.426077806058066,1.400278561978195,1.4200080038508198,1.281745836228158,0.43592890419219804,0.7087206185824247,0.4796854156608861,1.3353890460666082,3.063318359006222,0.38295862700329947,1.2322526184271763,1.2393237902485403,1.2077880559519096,0.9901533885930153,0.7904544987234546,21.260362032559378,17.71449206114691,29.097373169448474,19.60283597246281,58.80851853335449,0.5505324890836104,0.8703748285168109,1.3803113228983368,1.4375769245936871,1.1673794633051604,0.26666666666666666
9,29.30437179968561,13.32842192209938,23.256564699731427,13.40003717559,8.934280272856,16.736986430916744,30.0147161084966,20.034271672582065,23.267558422538883,14.648889480178156,9.767554766397836,16.367909536812675,4.41499306382056,2.9441578737643113,0.5514138338135517,0.8704926055819914,1.3790440159304551,1.4357121306890879,1.1396798592349664,1.4264981529467968,1.4004659030468096,1.4198978213822597,1.2813715518341477,0.4358615693525715,0.7076691665146173,0.47879749767360436,1.3342666984250733,3.061216591760605,0.3840699108032156,1.2324761288180621,1.239482517521341,1.2077605719510842,0.9901459858739036,0.7904295509891964,21.28477931350375,17.707329976649987,29.052731718904322,19.56308423542168,58.74930421737531,0.5514138338135517,0.8704926055819914,1.3790440159304551,1.4357121306890879,1.1674663010410977,0.3
