frame,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP,thumb_index_tip_dist,thumb_middle_tip_dist,thumb_ring_tip_dist,thumb_pinky_tip_dist,thumb_tip_to_palm,index_tip_to_palm,middle_tip_to_palm,ring_tip_to_palm,pinky_tip_to_palm,index_middle_tip_dist,middle_ring_tip_dist,ring_pinky_tip_dist,index_pinky_tip_dist,spread_ratio_index_pinky_vs_index_middle,spread_ratio_thumb_index_vs_thumb_pinky,index_extension,middle_extension,ring_extension,pinky_extension,thumb_extension,angle_thumb_index,angle_index_middle,angle_middle_ring,angle_ring_pinky,angle_index_pinky,pinch_index,pinch_middle,pinch_ring,pinch_pinky,mean_four_finger_extension,time_s
0,57.15282718363231,7.862013923918084,22.354004144506717,25.42687155187585,16.96543368233631,9.144916282513947,48.6208848813516,32.52251956359339,6.656514856076029,42.28174282518529,28.25837370675933,6.216159950007835,22.33114672289588,14.898392762236256,0.4708645307499769,0.2503784273185015,0.494985662307634,0.8020740667951757,1.1490637027526103,1.3503059264671782,1.1621874607155833,1.1305909615455132,1.079798061549326,0.33800012589286754,0.27657311281220226,0.33890299136430474,0.8244892929654019,2.439316454081935,0.5870586575137757,1.1887319353334935,1.1002542871320409,1.0661734346847964,0.954093664342539,0.7921755675885405,19.677411833335828,12.870577100385226,13.766838530863103,17.442919628254213,37.62899527702205,0.4708645307499769,0.2503784273185015,0.494985662307634,0.8020740667951757,1.0773133303732174,0.0
1,57.1544502998274,7.856426625869062,22.35636710694996,25.411838021620298,16.95546405464725,9.179467163438233,48.646922447396946,32.53997233868887,6.656724355754079,42.29800205840763,28.26943658061478,6.227929021806517,22.323459919056944,14.893129069516448,0.4713934255613762,0.250811046303966,0.49521326049279246,0.8027455284913702,1.1492307159529445,1.3506403308688544,1.1619015233986747,1.1304823282496028,1.0798968972653127,0.33905482464016007,0.27593148604629725,0.3393400119668109,0.8252184508704852,2.4338790265187993,0.5872264658702228,1.1888016455093728,1.1000198337936782,1.0660524044013313,0.9541194069456869,0.7921767195740894,19.69711976172298,12.909870995611303,13.737709039946372,17.46779330907832,37.65696252704205,0.4713934255613762,0.250811046303966,0.49521326049279246,0.8027455284913702,1.0772483226625171,0.033707865168539325
2,57.15412852681261,7.900457986713434,22.346439000707647,25.412962643431598,16.95621232620013,9.204217772086594,48.645968820791865,32.53953917689881,6.65865168518053,42.257960378772,28.242544037271415,6.233559766276443,22.299077351424955,14.877234516989375,0.47134738416597655,0.2506734797200025,0.49521532885646424,0.8029850014119982,1.1490283969207093,1.350951889775726,1.161965678319906,1.1308910443199258,1.080131775096676,0.33944024854073745,0.2759512979557995,0.3398459661112707,0.8263177555054579,2.4343540128617023,0.5869940004697498,1.1887973401929657,1.100027070751686,1.06634891618403,0.9542001154622874,0.7921752187505853,19.682846270898,12.921740572770076,13.737814208961428,17.488159747736734,37.705191749702536,0.47134738416597655,0.2506734797200025,0.49521532885646424,0.8029850014119982,1.0773433606477423,0.06741573033707865
3,57.146480993700195,7.999353507154382,22.332884020769484,25.454198255896898,16.98351636880861,9.264609783091998,48.651597120644084,32.543213783388836,6.6261318647967755,42.135673322969325,28.160144275806942,6.218611787713343,22.254140870351847,14.84699934487071,0.4705925526371786,0.2498405093307318,0.49516328654610425,0.8029412830997907,1.1484179130401366,1.3510443243740986,1.1619524660312388,1.1320836222966904,1.0806113983217118,0.3395503115716863,0.27640246928824314,0.34059412318800014,0.8277182186470315,2.4376893970111664,0.5860858778609268,1.1886030924024469,1.0999772617241474,1.0672553366642146,0.9543496463087965,0.7921705941055891,19.632822863789038,12.924209199730772,13.760196778881944,17.50894787506241,37.776157093844446,0.4705925526371786,0.2498405093307318,0.49516328654610425,0.8029412830997907,1.0775463342749014,0.10112359550561797
4,57.165646300596094,8.074643419026813,22.358114016069806,25.199990762891844,16.813627889196056,9.351138349288362,48.647145498230856,32.539911574084556,6.627249144219462,42.125683272874824,28.15355780752202,6.245729912245849,22.16820725612172,14.7896099137497,0.47312432570390284,0.24969488238648235,0.4957326344336868,0.804000097231962,1.1484306279457765,1.352782714803434,1.1620325232762883,1.1322607059491459,1.081068516686699,0.34202899156021316,0.2768046976656423,0.3410956743698446,0.8292295486442922,2.4244422106360735,0.5884630131863923,1.1898003016720384,1.1000182015819937,1.0673283559062523,0.9546347210091832,0.7921733357082851,19.712403289239873,13.00152555657271,13.779524707428708,17.532655988741816,37.800546449088365,0.47312432570390284,0.24969488238648235,0.4957326344336868,0.804000097231962,1.077945395042367,0.1348314606741573
5,57.14236384187994,8.123396307818581,22.386276093934953,25.24156497506209,16.84133528801246,9.435553083238943,48.616452774733375,32.5196862816766,6.634035832785258,42.09743968651887,28.13461099769603,6.320872461659434,22.0088582930687,14.683005236829416,0.47258074946504586,0.24888735102817772,0.495213514929473,0.8045861450397429,1.148169134670884,1.3525558370598623,1.1623839450004236,1.132491115074515,1.0818394133888767,0.3412878317458468,0.27713159327338943,0.3421483644923015,0.8292720758137166,2.4298318732117803,0.5873587887448828,1.1896045088726546,1.1002928869706998,1.0675364985914382,0.9551606275050875,0.7921710717618607,19.6874369536809,12.977447541854461,13.791903131169228,17.584588989697643,37.809396323069976,0.47258074946504586,0.24888735102817772,0.495213514929473,0.8045861450397429,1.07814863048497,0.16853932584269662
6,57.13489346395488,8.130229290526216,22.405287971598142,25.20954515032716,16.820149344237223,9.486026078617101,48.57080170407576,32.488974643080354,6.625725185774854,42.04767124147995,28.101122491789766,6.353861107359847,21.9326837842886,14.632246669656922,0.47302162935580605,0.24871467881021603,0.49508648471020844,0.8047009118596652,1.1480276489958612,1.3527623523314625,1.162829358879742,1.132917564387392,1.082213773255622,0.34137366072780484,0.27729269118345923,0.3425611430204364,0.829506130079089,2.429906583921927,0.5878228997956809,1.1897547123439778,1.1007052406651752,1.0679040614062374,0.9554104275171673,0.7921685249333361,19.702170758319163,12.986070007401844,13.794685014735387,17.599633472820972,37.81490678742454,0.47302162935580605,0.24871467881021603,0.49508648471020844,0.8047009118596652,1.0784436104831394,0.20224719101123595
7,57.11567255815251,8.164306312687017,22.416559044319996,25.265396676825446,16.857387521166828,9.532284249713427,48.50591601367333,32.44512092369814,6.632113962063613,42.09731548890275,28.134682151745608,6.374368815658443,21.888306050869886,14.60236507178044,0.47223349228070055,0.24838318134812667,0.4934775805221708,0.8038700301335064,1.1475416640432692,1.3524187896844095,1.1634366715924063,1.1324257292770235,1.082428806543854,0.3405779922161706,0.276532406534864,0.34305360442953264,0.8294249503788842,2.435345045721521,0.5874500462814514,1.1894932673042908,1.1012913305097856,1.0675370690559058,0.9555559383074291,0.7921639366576313,19.66489369106052,12.969540411139183,13.749499133992398,17.633291774609685,37.821331156203485,0.47223349228070055,0.24838318134812667,0.4934775805221708,0.8038700301335064,1.078469401294353,0.23595505617977527
8,57.114482537298144,8.188005116385455,22.43480467713175,25.157612954176585,16.78552799541299,9.666283551584485,48.37100264819131,32.35431107045699,6.611012528987601,42.05774997076682,28.107856535457216,6.383168625085176,21.87968773832361,14.596814878964125,0.4729913878758796,0.2494954729515723,0.4931847200715754,0.8032637152275472,1.1472691218624422,1.3530446220045649,1.1645766873799084,1.132732124181578,1.0824225023802325,0.3415137261625162,0.2753803252668644,0.3428056146993101,0.8297161451839422,2.4295249570550363,0.5888369822026898,1.1899976665468888,1.1025056124491956,1.0678301342658796,0.9555839859484481,0.7921614117037149,19.68170683724599,13.027454155604973,13.67780094675789,17.61539247936591,37.81687655898889,0.4729913878758796,0.2494954729515723,0.4931847200715754,0.8032637152275472,1.078979349802603,0.2696629213483146
9,57.12516467100676,8.22054068470203,22.44607753370002,25.188651051216112,16.80615516305261,9.69079940171028,48.35944784280707,32.346332851803226,6.6147148692905375,42.13189121167193,28.157757834935865,6.380290836026973,21.907351770438765,14.615273433924898,0.47232889222569774,0.24958053845013475,0.49272666543876426,0.8032058874469225,1.1472697619698733,1.3527021070960663,1.1646128272565204,1.1320301037661074,1.0822221421270923,0.34120515326682305,0.2747373451808641,0.34278988340758565,0.8289487794680319,2.4294731402402387,0.5880545620083799,1.189852493098439,1.1026101068236498,1.0672814127064645,0.9554934172770838,0.7921631464027368,19.65761194834062,13.023414561111144,13.644935237971508,17.625587225643237,37.78730236641425,0.47232889222569774,0.24958053845013475,0.49272666543876426,0.8032058874469225,1.0788093574764093,0.3033707865168539
