frame,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP,thumb_index_tip_dist,thumb_middle_tip_dist,thumb_ring_tip_dist,thumb_pinky_tip_dist,thumb_tip_to_palm,index_tip_to_palm,middle_tip_to_palm,ring_tip_to_palm,pinky_tip_to_palm,index_middle_tip_dist,middle_ring_tip_dist,ring_pinky_tip_dist,index_pinky_tip_dist,spread_ratio_index_pinky_vs_index_middle,spread_ratio_thumb_index_vs_thumb_pinky,index_extension,middle_extension,ring_extension,pinky_extension,thumb_extension,angle_thumb_index,angle_index_middle,angle_middle_ring,angle_ring_pinky,angle_index_pinky,pinch_index,pinch_middle,pinch_ring,pinch_pinky,mean_four_finger_extension,time_s
0,38.21013908839831,14.395141887872967,17.468421162458554,10.545928026386605,7.030648002522554,3.03388304969414,86.58192247138685,58.36085668133212,42.76965085156749,90.41004763625021,61.00454359479468,86.62140303418904,67.80949012239606,45.50880593317203,0.5271076579018882,0.8012546316599332,0.9732453492392368,0.9515548806961632,1.156639732707435,1.462967247276689,0.5658996036758999,0.3598188887409313,0.47292757530814794,1.2588576209221245,0.24857373578876774,0.1574982281845064,1.3676619068367555,1.0864309618832202,0.553943511883222,1.2389336709041956,0.6638139102051307,0.564134477672259,0.6681547286992069,0.7919893030426822,18.980597045580907,58.06687068337928,17.719135573694707,15.267882840224733,69.10901758850638,0.5271076579018882,0.8012546316599332,0.9732453492392368,0.9515548806961632,0.783759196870198,0.0
1,38.292193033668354,14.493312564981778,17.464246573277137,10.441145820764348,6.960256611991952,3.06174912157843,86.58430467312833,58.36238026197927,42.80069629550391,90.39804013096644,60.996356647731275,86.63169659383168,67.79391772947702,45.49810395688013,0.52754643647762,0.8014414775732182,0.9733737913406328,0.9520007873012293,1.1567759755059737,1.4632385410118092,0.5659301358045569,0.3599484292087239,0.47303904622068554,1.25936679943887,0.24838953693994023,0.15763553721061346,1.3680259933025292,1.086280806393551,0.554144952370975,1.2391419479303667,0.6637835190720253,0.5642848384132327,0.6682932826745767,0.7920049521558912,18.99746034036068,58.093912697089074,17.691972752476314,15.293547385127585,69.12250867797434,0.52754643647762,0.8014414775732182,0.9733737913406328,0.9520007873012293,0.7838758970225503,0.03333333333333333
2,38.32557229955785,14.478429259849833,17.478215535428006,10.489489368068973,6.992849589046585,3.038729766869892,86.59492519178313,58.369749596305184,42.77737097857121,90.42123904333192,61.01259038452818,86.65099554706525,67.7939418292536,45.49830796470778,0.5271436199152859,0.8019211763540266,0.9742816834726077,0.9529423041827566,1.1575411583467698,1.463006205436408,0.5658296606859486,0.35964523800788045,0.4729694079283438,1.2589615330456285,0.24866304704312442,0.15765820147610812,1.367585760826322,1.0862808068925713,0.5531747431819777,1.2390456722697778,0.6636406002126325,0.5639905007779162,0.6682916153389381,0.7920204863563337,19.002287003669124,58.072655748080166,17.725316128756546,15.27194940282567,69.09549883726238,0.5271436199152859,0.8019211763540266,0.9742816834726077,0.9529423041827566,0.7837420971498161,0.06666666666666667
3,38.32540805589409,14.509944035219036,17.436493795268717,10.42176931190454,6.947593925227949,2.994154105337145,86.59626331303892,58.37099099604988,42.75567640515658,90.45069551346309,61.032687393127134,86.64805075810017,67.80344875667066,45.504776023833216,0.5272792410765291,0.8016946798540887,0.9740543001481978,0.9525896706416407,1.1569377863345984,1.4633858518387257,0.5658428876182421,0.35923953122818586,0.47286676871932665,1.2594417099568096,0.24902218440973126,0.15783039515370043,1.3682409282366714,1.0863868542353774,0.5535218906857851,1.2391801877140391,0.6636192098558035,0.5636214916072222,0.6682080441961211,0.7920138559301041,18.980959348291115,58.08614739572896,17.737880297783125,15.273037857825784,69.13092408179057,0.5272792410765291,0.8016946798540887,0.9740543001481978,0.9525896706416407,0.7836572333432965,0.1
4,38.356264728756855,14.466283380010282,17.397017159261424,10.299537173073645,6.866075718156196,2.9797596527992027,86.60362894175925,58.37576597967649,42.815082421096434,90.43866105169485,61.02436035144913,86.64129697726683,67.81177496252283,45.510513957947694,0.5284890149895897,0.8016670632123934,0.9739688178215256,0.9523581068763199,1.1568367917122118,1.4638740308881175,0.5657519640211286,0.35942599274341047,0.47278757908913693,1.260364717195161,0.2489900837040345,0.15753781485356055,1.3691562765965843,1.0863175135371568,0.5549267713735704,1.239418688204997,0.6635237651608891,0.5637734615209768,0.6681336469681518,0.7920106354573716,19.026180334568867,58.133039211025356,17.78020284133499,15.249860703846467,69.18555259131544,0.5284890149895897,0.8016670632123934,0.9739688178215256,0.9523581068763199,0.7837123904637537,0.13333333333333333
5,38.36951975788705,14.530342445353256,17.40510327943258,10.24076387641918,6.8270179997045375,2.9831476682264793,86.60412468093584,58.37602368451367,42.82455903242351,90.440674707435,61.025864695882575,86.63774880096544,67.80585975713717,45.50625988628846,0.5287405570984596,0.801540279779603,0.9737086459057211,0.9521424949545364,1.1564567594475983,1.463964464896414,0.5657711795845987,0.35937939694079435,0.47283499340629076,1.2606997257840726,0.2489751669415227,0.15767521916296195,1.369367387085848,1.0861962989420246,0.5553166194630774,1.2395325163709516,0.6635178126163431,0.5637463260181055,0.6681871770500957,0.7920103549566131,19.027538766337656,58.15917290236899,17.76509458683742,15.264173012110037,69.20097011179998,0.5287405570984596,0.801540279779603,0.9737086459057211,0.9521424949545364,0.7837459580138739,0.16666666666666666
6,38.38248335950698,14.526625856796556,17.411104050432613,10.084172562043477,6.722417302741121,2.9515494723968345,86.60320488213176,58.375464030475044,42.80719385741966,90.41794091089619,61.01009145779115,86.64994248516953,67.80222696087122,45.50376503157122,0.5302823733613773,0.8016067900307798,0.9735699231700611,0.952299414756705,1.1565639211386616,1.464324842464567,0.5658038993409626,0.3596612252302298,0.4728356561429988,1.2617264623197557,0.24864937117008332,0.15761972153315476,1.3702218275215943,1.0859896004261238,0.5568441601199693,1.2398351243785375,0.6635293333852319,0.5640337509137243,0.6682197017191519,0.7920131208290438,19.10078505508288,58.23091250721023,17.730139968654985,15.287704543839233,69.26321354950272,0.5302823733613773,0.8016067900307798,0.9735699231700611,0.952299414756705,0.7839044775991614,0.2
7,38.382510853778626,14.568124509051017,17.439892791047868,10.197316490635586,6.797857505916511,2.8468078647179027,86.60348132367989,58.37565105658355,42.84309956215324,90.45108507463526,61.033216159177414,86.64956246450775,67.80747043667162,45.50751449881608,0.5290176872547468,0.801650685242526,0.9740390352307706,0.9524629421802887,1.1564257526835022,1.4638839489145372,0.5658126842676807,0.3592619933158302,0.4727709995040257,1.2609673731544013,0.2492971287087329,0.15753283772747384,1.3694850999107517,1.0860590989156955,0.5554207500079339,1.23961663556684,0.6635257435536656,0.5636139129992823,0.6681721707601577,0.7920143400965257,19.04511258551189,58.19498318151563,17.811096063745712,15.23116771493891,69.2242186750775,0.5290176872547468,0.801650685242526,0.9740390352307706,0.9524629421802887,0.7837321157199865,0.23333333333333334
8,38.39273905378752,14.628019366234525,17.43940692346999,10.11802810507271,6.744898602147828,2.7827408417606136,86.59599508649806,58.3705094016789,42.994811200493416,90.43582289006783,61.022660271697134,86.63783992591796,67.80659057970874,45.50673368447974,0.5293037892201051,0.8016588267710613,0.9741459623772506,0.9525106512868304,1.1561084747121486,1.4640218066766968,0.565849223842638,0.3595240340218583,0.47285048621724407,1.2614545086279394,0.24938007344862936,0.15720705191993337,1.3698889914056342,1.0859598750303239,0.5556932963931575,1.2397696999124397,0.6636257571384936,0.5638065119588177,0.6681806098446509,0.7920146976785266,19.048022732957193,58.23250865745435,17.865797144138927,15.18501891446762,69.25769412538243,0.5293037892201051,0.8016588267710613,0.9741459623772506,0.9525106512868304,0.7838456447136004,0.26666666666666666
9,38.429416446507446,14.699408091580835,17.473384447788504,9.988907758464904,6.658799765522332,2.600874199741014,86.55698901872962,58.34358157351734,43.402872341158684,90.40622477763475,61.00195355131059,86.6690665023483,67.74525120066237,45.46502443896753,0.529777219854238,0.8020860840964659,0.9752115882300912,0.9525886536451611,1.1557411384968843,1.4639932150382577,0.5658628227555664,0.36023918213639095,0.47373783986112045,1.2624413437154962,0.24977342358717772,0.15624552634350117,1.3702508073631678,1.0853975935835571,0.5561447874332249,1.2400148947966703,0.6641486660820295,0.5641816193160287,0.6687204398069472,0.7920142034433011,19.066441230344502,58.33669649836686,18.068917623584433,14.935391380273774,69.30829407837804,0.529777219854238,0.8020860840964659,0.9752115882300912,0.9525886536451611,0.784266405000419,0.3
10,38.429416446507446,14.699408091580835,17.473384447788504,9.988907758464904,6.658799765522332,2.600874199741014,86.55698901872962,58.34358157351734,43.402872341158684,90.40622477763475,61.00195355131059,86.6690665023483,67.74525120066237,45.46502443896753,0.529777219854238,0.8020860840964659,0.9752115882300912,0.9525886536451611,1.1557411384968843,1.4639932150382577,0.5658628227555664,0.36023918213639095,0.47373783986112045,1.2624413437154962,0.24977342358717772,0.15624552634350117,1.3702508073631678,1.0853975935835571,0.5561447874332249,1.2400148947966703,0.6641486660820295,0.5641816193160287,0.6687204398069472,0.7920142034433011,19.066441230344502,58.33669649836686,18.068917623584433,14.935391380273774,69.30829407837804,0.529777219854238,0.8020860840964659,0.9752115882300912,0.9525886536451611,0.784266405000419,0.3333333333333333
11,38.53357839449268,14.487294381447782,17.503417878340855,9.56789644446556,6.378329118228322,0.5437213244128998,86.36565910106415,58.211635559832146,45.02467525112377,90.74430264323766,61.23587828408009,86.67749653582132,67.91282320713556,45.578980238799346,0.5369874397214783,0.8094848987886812,0.9857494794953914,0.961029290889793,1.1569302589796497,1.4645186692888843,0.56278678382995,0.3575170202436482,0.4763877748912223,1.2726718167106026,0.2513601076161786,0.1550312937277527,1.380311059899081,1.0845773678094903,0.5587628173504128,1.2407951555772239,0.6667125400493649,0.5599129925290791,0.667245264763134,0.7920285765073112,19.46829574936647,59.28951373886603,18.612327433786206,13.850550208340259,70.46855987598629,0.5369874397214783,0.8094848987886812,0.9857494794953914,0.961029290889793,0.7836664882297004,0.36666666666666664
