frame,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP,thumb_index_tip_dist,thumb_middle_tip_dist,thumb_ring_tip_dist,thumb_pinky_tip_dist,thumb_tip_to_palm,index_tip_to_palm,middle_tip_to_palm,ring_tip_to_palm,pinky_tip_to_palm,index_middle_tip_dist,middle_ring_tip_dist,ring_pinky_tip_dist,index_pinky_tip_dist,spread_ratio_index_pinky_vs_index_middle,spread_ratio_thumb_index_vs_thumb_pinky,index_extension,middle_extension,ring_extension,pinky_extension,thumb_extension,angle_thumb_index,angle_index_middle,angle_middle_ring,angle_ring_pinky,angle_index_pinky,pinch_index,pinch_middle,pinch_ring,pinch_pinky,mean_four_finger_extension,time_s
0,26.665731179510544,46.2911701774764,47.750021741143655,47.18415159750674,31.555005066894438,29.33949193726079,55.38615630517232,37.08594023770351,6.264096602750072,53.28503449324246,35.66683375500014,9.731215045508407,47.7704689065784,31.9514775389558,0.424564410846322,0.4464769955303213,0.3754604804995746,0.3127785246607606,0.7612140775678766,1.053912423457859,0.9871470773386134,0.9482766122681338,0.8299309077083105,0.16256681329837971,0.23825817923607864,0.19506097140543108,0.4700834236689539,2.8916319709720204,1.3573962526130647,1.045658048984812,1.035690506516841,0.9755845278475933,0.8248119353912022,0.7668369211196469,19.77103797620632,8.333566048384712,13.954943193383455,10.027289246225003,25.530290714331862,0.424564410846322,0.4464769955303213,0.3754604804995746,0.3127785246607606,0.9704362546851121,0.0
1,26.64738940890976,46.30004281891979,47.222967613695175,47.261683307197444,31.607093844164808,28.919282051138566,55.47584015941793,37.14654387840423,6.02206940038252,53.313196661756336,35.685942209479435,10.029896583243243,47.50970301225138,31.775865100844328,0.42577051751368794,0.44479090698301954,0.37197536579856305,0.3097467504829139,0.7614202532941838,1.0546476084187846,0.9866993481310039,0.9479156019468846,0.8314372015695759,0.16229093109368178,0.23789597999429202,0.19503166603026206,0.4718531559604101,2.907452213787058,1.37457617587311,1.0450118180684773,1.0347880210266067,0.9753310801591522,0.8265615751284643,0.7667994014052106,19.83674529733493,8.285117616141413,13.939739674231713,10.108918103380265,25.64998267028974,0.42577051751368794,0.44479090698301954,0.37197536579856305,0.3097467504829139,0.9704231235956752,0.06521739130434782
2,26.63938991878885,46.32443651829357,46.87904613394693,47.287468366703536,31.624616542246685,28.707943671162752,55.551219172823366,37.1974515908864,5.80307311944722,53.348225998501164,35.70945173107222,10.206320544767493,47.44811008834924,31.73432459334265,0.42671326540168475,0.4435108965074653,0.3697028617308646,0.30736890915839415,0.7612718404505187,1.0553412900597905,0.9861688647851455,0.947561696331616,0.8316096950384082,0.16269557108855542,0.2375566804740538,0.19511033840269476,0.47328072221276846,2.9089955550492865,1.3882772095827611,1.0447969524570213,1.0340309304048192,0.9750151585711176,0.8269731902446484,0.7667460667094502,19.864575487045972,8.27767260083528,13.927328882869922,10.141407453305588,25.72278756611996,0.42671326540168475,0.4435108965074653,0.3697028617308646,0.30736890915839415,0.9702040579194016,0.13043478260869565
3,26.62961758704725,46.34960083139916,46.52488887547295,47.32549169490807,31.650108873539324,28.424134691788225,55.60931701531972,37.23670759238286,5.618359455161368,53.402883651141536,35.746323260519574,10.37247213151116,47.40657021474061,31.70650282291527,0.4273772234901897,0.4422975831866215,0.36796351173480996,0.3059829221946147,0.7611027094001195,1.0555793780164724,0.9857795574849811,0.9471735219331984,0.8317129268878937,0.16257389937337963,0.23709945447812225,0.19465405526426802,0.4741306604187602,2.916400683518261,1.3967354990191558,1.044480697131987,1.0334452899158046,0.9745213289170959,0.8272510625277562,0.7667090280392186,19.89887158170603,8.254099980320897,13.905290648220484,10.129609087287365,25.774168252415194,0.4273772234901897,0.4422975831866215,0.36796351173480996,0.3059829221946147,0.9699245946231609,0.19565217391304346
4,26.5911474167753,46.32475770092191,45.80298067331404,47.315113593446426,31.64318844943807,27.536892173729825,55.774675381119025,37.34847637295641,5.2815356892141665,53.60644823632465,35.883831831894696,10.872564385853707,47.190116555363915,31.56075960116769,0.4299334686403634,0.43958772920263417,0.36357995661802484,0.3029671091398205,0.7620243191510054,1.0586575993176335,0.9853726585951255,0.9450296616974743,0.8326613442148671,0.1630789235629087,0.23776291137792485,0.1942278513216989,0.47903014578362185,2.9374127934116827,1.4190763336332464,1.0445673498113344,1.0317780871322948,0.9726791271530819,0.8286945517274251,0.766751603203109,19.953100306053248,8.179516510065003,13.946748547968799,10.246193652591105,25.997688139440466,0.4299334686403634,0.43958772920263417,0.36357995661802484,0.3029671091398205,0.969429778956034,0.2608695652173913
5,26.552268520929033,46.310803022543865,45.35881014456726,47.5885235516692,31.82715209769401,27.204035045886258,56.0280126414241,37.519601740855734,4.965207949557083,53.78675651073165,36.005425412495924,11.08254302816951,47.238669067895586,31.593572083001646,0.4300033657023949,0.43726370166307826,0.3601167581206745,0.3002729056256058,0.7625645853565877,1.0580182827719475,0.9835404944296109,0.9433074516824258,0.8316232471500615,0.16246542546940637,0.23811714451256832,0.19428791455386196,0.48079677231226176,2.959378842171016,1.432041797064851,1.042280550623539,1.0292142927794776,0.971042902602267,0.8283697746091857,0.7667747836925759,20.030825888085147,8.116636450318476,13.995270396163768,10.298124329715435,26.134417909594244,0.4300033657023949,0.43726370166307826,0.3601167581206745,0.3002729056256058,0.9677268801536173,0.32608695652173914
6,26.510403525658745,46.22096277822516,45.04407599553227,47.89457233612458,32.03330836415418,26.583229446823225,56.30875616372913,37.709541972329646,4.738508184953417,53.98386696936403,36.138662673284756,11.355073633173674,47.25520038533671,31.604483843192526,0.4293217765502345,0.43501571996304983,0.3563207266026305,0.2990627911950158,0.7639481650288249,1.0568603830958163,0.9815528630386133,0.9415184896803934,0.830836556662208,0.16063271444534274,0.23989923746393674,0.19377822918893675,0.48223598053119243,3.00210297868215,1.4355572636741212,1.0397072789996737,1.0263622619817905,0.9692479637690783,0.8282602347165089,0.7668610354701463,20.117612625377568,7.988190660431151,14.133468761379028,10.317951204298383,26.276334368245678,0.4293217765502345,0.43501571996304983,0.3563207266026305,0.2990627911950158,0.9658944348667629,0.3913043478260869
7,26.511648418439165,46.07763797747964,44.64349046993564,48.37763399548518,32.358520788059906,25.99480275732131,56.597061440957475,37.90427183311937,4.392664877069876,54.28405071310486,36.341266892013095,11.591832730508628,47.47293823008303,31.75119694011528,0.4263082101915278,0.43259281773321684,0.3557393435578673,0.3016684490398988,0.7653340681882975,1.052467233323891,0.979046651129194,0.9390496136309047,0.8295011155414886,0.1570044019610353,0.2405081768294325,0.19228904043547054,0.4812845179642264,3.065420340440303,1.4131679909404917,1.0356190980050024,1.023423734076523,0.9665081693516199,0.8268079953757281,0.767008982279089,20.221294328723232,7.83937337147145,14.207893266634544,10.273006688223953,26.38736885846373,0.4263082101915278,0.43259281773321684,0.3557393435578673,0.3016684490398988,0.9630897492022183,0.45652173913043476
8,26.535623043979342,45.87601480005418,44.5986288140804,48.4714730249795,32.421721775641316,25.722025824006494,56.675894244700615,37.95755221007093,4.364352064104537,54.39868584535782,36.41873191998366,11.67856091415888,47.49965432195299,31.769186190109338,0.4237664997527049,0.43151691853979574,0.3556352602026269,0.30391804058899097,0.7677437463885876,1.0514041382614217,0.9785283284813646,0.9379006452082967,0.8294127180973176,0.15541969400904967,0.24079281851485948,0.1920830744527853,0.48054091504347834,3.0918918428483027,1.3943446232675174,1.0348217070920136,1.022618567335681,0.9654575880539363,0.8266286486930375,0.767238740764555,20.181168616742312,7.760223388829695,14.23136556722435,10.311198953863572,26.381573803621478,0.4237664997527049,0.43151691853979574,0.3556352602026269,0.30391804058899097,0.9623816277936671,0.5217391304347826
9,26.52548809146748,45.83302871460441,44.49394375229173,48.59351795269981,32.503953403717475,25.442557046134937,56.72192235719655,37.98860914162006,4.292612455935625,54.38179876709141,36.40732681659142,11.847952709615413,47.38207001751525,31.689905390585835,0.4231974357703569,0.4308992439125536,0.3548562514415227,0.30375801566575467,0.7682681664678992,1.0505939871192618,0.978625677608511,0.9381558993964348,0.8302813306148588,0.15322618758731252,0.241501534565971,0.19243395717117762,0.4803478285735982,3.134893615694423,1.3932057756920946,1.0337819052830752,1.02214841097775,0.9656110915881325,0.8274141778581959,0.7672839727343956,20.210171051786457,7.64946552672857,14.273656727928019,10.359264935793203,26.419012703398757,0.4231974357703569,0.4308992439125536,0.3548562514415227,0.30375801566575467,0.9622388964267885,0.5869565217391304
