epoch,train_loss,train_acc,val_loss,val_acc
1,1.70564353902698,0.3772893772893773,1.2488391739981515,0.625
2,1.1347193757256309,0.6190476190476191,0.8449048144476754,0.75
3,0.6103925244275467,0.8461538461538461,0.262422685112272,0.9464285714285714
4,0.45241038528554167,0.8644688644688645,0.12032827681728772,0.9642857142857143
5,0.40673237056522576,0.9230769230769231,0.14268970170191356,0.9642857142857143
6,0.263009848175468,0.9340659340659341,0.07934902076210294,0.9821428571428571
7,0.2696978019707369,0.9084249084249084,0.3473026119172573,0.9464285714285714
8,0.16425113778411252,0.9597069597069597,0.04915587231516838,1.0
9,0.26850687191163225,0.9413919413919414,0.11355691030621529,0.9821428571428571
10,0.15784962666340363,0.9633699633699634,0.03910213815314429,1.0
11,0.1675553479037442,0.945054945054945,0.02182982279919088,1.0
12,0.10031967874848362,0.978021978021978,0.04267172608524561,1.0
13,0.14702614890786755,0.967032967032967,0.011359039793855377,1.0
14,0.06574368531450683,0.978021978021978,0.013568765317488993,1.0
15,0.068145670406111,0.9853479853479854,0.01736579675759588,1.0
16,0.1193322037711685,0.9560439560439561,0.02360353891604713,1.0
17,0.11733237913240006,0.9597069597069597,0.02940905380195805,1.0
18,0.08549501853329795,0.9816849816849816,0.018716093618422747,1.0
19,0.10200879185191004,0.9743589743589743,0.01510163991978126,1.0
20,0.09280214742535636,0.978021978021978,0.009953118561367904,1.0
21,0.04869273872602554,0.9963369963369964,0.018802007311023772,1.0
22,0.0726026258953325,0.9853479853479854,0.01667512740407671,1.0
23,0.13145591646105378,0.945054945054945,0.018049385398626328,1.0
24,0.07665351147835071,0.9853479853479854,0.010449383740446396,1.0
25,0.08740795227688747,0.9743589743589743,0.014995692763477564,1.0
26,0.04294549103403266,0.9926739926739927,0.035778807542685954,1.0
27,0.1377361433191614,0.9633699633699634,0.025708487365461354,1.0
28,0.07247696145550235,0.9816849816849816,0.02304839185671881,1.0
29,0.13232079770538832,0.9706959706959707,0.059003819179322035,0.9821428571428571
30,0.10017702965945988,0.9706959706959707,0.018583999148436954,1.0
31,0.07107620687657223,0.9816849816849816,0.018133247504010797,1.0
32,0.023734098313983543,1.0,0.01208005694206804,1.0
33,0.05817992347991947,0.9816849816849816,0.004242184097945158,1.0
34,0.05211776806785292,0.989010989010989,0.007029316288286022,1.0
35,0.05019932686463817,0.9853479853479854,0.00800569066112595,1.0
36,0.0712112253838843,0.9816849816849816,0.037750138635081906,1.0
37,0.041232087659639316,0.989010989010989,0.008868344477377832,1.0
38,0.04101864041098745,0.9853479853479854,0.021607055195740292,0.9821428571428571
39,0.04926837095820205,0.9816849816849816,0.01884321937853071,1.0
40,0.06595347087571035,0.989010989010989,0.007738637571622219,1.0
41,0.04415167816283502,0.989010989010989,0.007489821407943964,1.0
42,0.06806397440778467,0.9816849816849816,0.021668489057836787,1.0
43,0.0350190024454515,0.9926739926739927,0.0077059853190023985,1.0
44,0.10334349667905887,0.9706959706959707,0.026054958812892437,1.0
45,0.06023825481261089,0.9853479853479854,0.00884518918714353,1.0
46,0.0514501918502998,0.9853479853479854,0.033316253464103544,0.9821428571428571
47,0.03496893478946372,0.9926739926739927,0.006129568143348608,1.0
48,0.057077754131985674,0.9853479853479854,0.03295517764386854,0.9821428571428571
49,0.0547826604665199,0.9926739926739927,0.007812377535239128,1.0
50,0.04955014885290639,0.989010989010989,0.006185286042247233,1.0
51,0.052464650718720404,0.9926739926739927,0.00833877467084676,1.0
52,0.06442945954072607,0.9816849816849816,0.0033741372504404615,1.0
53,0.03675906308977814,0.9926739926739927,0.013207462308595755,1.0
54,0.03151154512669141,0.989010989010989,0.014360301687182593,1.0
55,0.0328894126819167,0.9926739926739927,0.006118691700976342,1.0
56,0.035735432495236835,0.9926739926739927,0.0036698974477725904,1.0
57,0.02207597996016125,0.9963369963369964,0.00738911193288264,1.0
58,0.0255947492730159,0.9926739926739927,0.004716814354261649,1.0
59,0.01801490877847095,0.9963369963369964,0.004245946587096634,1.0
60,0.015813157542339175,1.0,0.0035842996273588923,1.0
61,0.019930469868329418,0.9926739926739927,0.0036929437732656618,1.0
62,0.030882172832340547,0.9963369963369964,0.005552054000353175,1.0
63,0.021389796599854915,0.9963369963369964,0.005569291230390913,1.0
64,0.02127067155917704,1.0,0.029702784697292373,0.9821428571428571
65,0.03449259376351213,0.9926739926739927,0.00802015800062301,1.0
66,0.033317405286998975,0.9926739926739927,0.025614358617791107,0.9821428571428571
67,0.02869914922754079,0.9963369963369964,0.015435080626048148,1.0
68,0.011330377494732102,1.0,0.01586853795950966,1.0
69,0.04154974363416761,0.989010989010989,0.03240278387342447,0.9821428571428571
70,0.012817213092606528,1.0,0.022499359597402093,1.0
71,0.026151932414361846,0.9963369963369964,0.012454525068668383,1.0
72,0.015714190450015958,0.9963369963369964,0.017782251758035272,1.0
73,0.01881804504182749,0.9963369963369964,0.013641459767573647,1.0
74,0.02316964418037143,0.9963369963369964,0.005922469823937198,1.0
75,0.011727214582782962,1.0,0.003599714390085345,1.0
76,0.03652655175672127,0.9963369963369964,0.024947834957856685,0.9821428571428571
77,0.017065160106117035,0.9963369963369964,0.012905834311303417,1.0
